review_text,rating,platform,timestamp,user_id,product_name
用了两周，续航确实给力，重度使用能撑一天半，充电也快，很满意,5,淘宝,2026-08-01 14:30:00,u1001,某款智能手机
拍照效果很好，夜景模式很清晰，色彩还原度高，值得推荐,5,京东,2026-08-02 09:15:00,u1002,某款智能手机
屏幕素质不错，120Hz刷新率很流畅，看视频体验很好,5,淘宝,2026-08-03 16:20:00,u1003,某款智能手机
这手机真是太好了，卡顿得让我学会了冥想，等待是一种修行,5,京东,2026-08-04 10:00:00,u1004,某款智能手机
质量棒极了，买回来三天就坏了，省得我用太久，真环保,5,淘宝,2026-08-05 11:30:00,u1005,某款智能手机
客服太热情了，热情到我想退货他们都拦着,4,拼多多,2026-08-06 14:00:00,u1006,某款智能手机
好评！质量很好，物流很快，卖家态度好，下次还来！,5,拼多多,2026-08-07 09:00:00,u1007,某款智能手机
好评！质量很好，物流很快，卖家态度好，下次还来！,5,拼多多,2026-08-07 09:01:00,u1008,某款智能手机
很好很好很好很好很好,5,淘宝,2026-08-08 10:00:00,u1009,某款智能手机
嗯……收到了，就这样吧,3,淘宝,2026-08-10 14:00:00,u1012,某款智能手机
用了三天，目前还在用,3,京东,2026-08-11 09:30:00,u1013,某款智能手机
质量太差了，用了一周就坏了，客服也不理人，千万别买,1,淘宝,2026-08-11 16:00:00,u1014,某款智能手机
电池续航太差了，满电出门两小时就没电了，严重影响使用,1,京东,2026-08-12 08:00:00,u1015,某款智能手机
音质还行，低音不错但高音有点闷，佩戴一般，续航中等,3,淘宝,2026-08-12 10:00:00,u1016,某款智能手机
