review_text,rating,platform,timestamp,user_id,product_name,tokens
"用了两周,续航确实给力,重度使用能撑一天半,充电也快,很满意",5,淘宝,2026-08-01 14:30:00,u1001,某款智能手机,"用 了 两周 , 续航 确实 给力 , 重度 使用 能撑 一天 半 , 充电 也 快 , 很 满意"
"拍照效果很好,夜景模式很清晰,色彩还原度高,值得推荐",5,京东,2026-08-02 09:15:00,u1002,某款智能手机,"拍照 效果 很 好 , 夜景 模式 很 清晰 , 色彩 还原 度高 , 值得 推荐"
"屏幕素质不错,120Hz刷新率很流畅,看视频体验很好",5,淘宝,2026-08-03 16:20:00,u1003,某款智能手机,"屏幕 素质 不错 , 120Hz 刷新率 很 流畅 , 看 视频 体验 很 好"
"这手机真是太好了,卡顿得让我学会了冥想,等待是一种修行",5,京东,2026-08-04 10:00:00,u1004,某款智能手机,"这 手机 真是 太好了 , 卡顿 得 让 我 学会 了 冥想 , 等待 是 一种 修行"
"质量棒极了,买回来三天就坏了,省得我用太久,真环保",5,淘宝,2026-08-05 11:30:00,u1005,某款智能手机,"质量 棒极了 , 买回来 三天 就 坏 了 , 省得 我用 太久 , 真 环保"
"客服太热情了,热情到我想退货他们都拦着",4,拼多多,2026-08-06 14:00:00,u1006,某款智能手机,"客服 太 热情 了 , 热情 到 我 想 退货 他们 都 拦 着"
"好评!质量很好,物流很快,卖家态度好,下次还来!",5,拼多多,2026-08-07 09:00:00,u1007,某款智能手机,"好评 ! 质量 很 好 , 物流 很快 , 卖家 态度 好 , 下次 还来 !"
很好很好很好很好很好,5,淘宝,2026-08-08 10:00:00,u1009,某款智能手机,很 好 很 好 很 好 很 好 很 好
"嗯……收到了,就这样吧",3,淘宝,2026-08-10 14:00:00,u1012,某款智能手机,"嗯 … … 收到 了 , 就 这样 吧"
"用了三天,目前还在用",3,京东,2026-08-11 09:30:00,u1013,某款智能手机,"用 了 三天 , 目前 还 在 用"
"质量太差了,用了一周就坏了,客服也不理人,千万别买",1,淘宝,2026-08-11 16:00:00,u1014,某款智能手机,"质量 太差 了 , 用 了 一周 就 坏 了 , 客服 也 不理 人 , 千万别 买"
"电池续航太差了,满电出门两小时就没电了,严重影响使用",1,京东,2026-08-12 08:00:00,u1015,某款智能手机,"电池 续航 太差 了 , 满电 出门 两 小时 就 没电 了 , 严重 影响 使用"
"音质还行,低音不错但高音有点闷,佩戴一般,续航中等",3,淘宝,2026-08-12 10:00:00,u1016,某款智能手机,"音质 还 行 , 低音 不错 但 高音 有点 闷 , 佩戴 一般 , 续航 中等"
